year,lat,sst
1980,-40.0,14.2625313125
1980,-30.0,21.641583583333333
1980,-20.0,25.9032650530303
1980,-10.0,28.05061262820513
1981,-40.0,14.470647232371794
1981,-30.0,21.557132547619048
1981,-20.0,25.919223159090908
1981,-10.0,28.298599516025643
1982,-40.0,14.457627993589744
1982,-30.0,21.46271822619048
1982,-20.0,25.695740674242426
1982,-10.0,27.58364243269231
1983,-40.0,14.540162362179487
1983,-30.0,21.919206202380952
1983,-20.0,26.103764507575757
1983,-10.0,28.209588096153848
1984,-40.0,14.474797125
1984,-30.0,21.560304154761905
1984,-20.0,25.96538334090909
1984,-10.0,28.047444285256407
1985,-40.0,14.789744804487178
1985,-30.0,21.60426220238095
1985,-20.0,25.883594886363635
1985,-10.0,28.217586160256413
1986,-40.0,14.443147596153844
1986,-30.0,21.584460345238096
1986,-20.0,25.742829992424245
1986,-10.0,28.200348657051283
1987,-40.0,14.241716120192308
1987,-30.0,21.683114976190478
1987,-20.0,25.76638762878788
1987,-10.0,27.943780798076926
1988,-40.0,14.919874
1988,-30.0,22.02859244047619
1988,-20.0,26.472646393939396
1988,-10.0,28.466299862179486
1989,-40.0,15.055514790064102
1989,-30.0,21.803428178571426
1989,-20.0,26.04549696212121
1989,-10.0,28.418096714743587
1990,-40.0,14.945976466346155
1990,-30.0,21.548214476190477
1990,-20.0,25.95880165151515
1990,-10.0,28.299197766025642
1991,-40.0,14.56685605448718
1991,-30.0,21.619733154761906
1991,-20.0,25.626894522727273
1991,-10.0,27.981146727564106
1992,-40.0,14.605052588141026
1992,-30.0,21.421077678571425
1992,-20.0,25.709050659090906
1992,-10.0,28.258764233974357
1993,-40.0,14.618862809294873
1993,-30.0,21.463746523809522
1993,-20.0,25.423974606060607
1993,-10.0,27.900255599358974
1994,-40.0,14.46304955448718
1994,-30.0,21.67093435714286
1994,-20.0,25.677359303030304
1994,-10.0,27.912055269230766
1995,-40.0,14.206481405448718
1995,-30.0,21.815258071428573
1995,-20.0,25.989920053030303
1995,-10.0,28.28968201923077
1996,-40.0,14.224344910256411
1996,-30.0,21.928735976190477
1996,-20.0,26.146480348484847
1996,-10.0,28.490731836538462
1997,-40.0,14.642578567307693
1997,-30.0,21.890458738095237
1997,-20.0,25.799385090909094
1997,-10.0,27.778810810897436
1998,-40.0,14.637628157051282
1998,-30.0,22.37050938095238
1998,-20.0,26.5877080530303
1998,-10.0,28.853371419871795
1999,-40.0,14.993253241987178
1999,-30.0,22.08552032142857
1999,-20.0,26.236706553030302
1999,-10.0,28.35335590705128
2000,-40.0,14.943487685897436
2000,-30.0,21.757635988095235
2000,-20.0,25.853402204545457
2000,-10.0,28.292682852564102
2001,-40.0,15.008828447115384
2001,-30.0,21.82617263095238
2001,-20.0,25.955158378787882
2001,-10.0,28.37407060576923
2002,-40.0,14.665176591346153
2002,-30.0,21.743314595238093
2002,-20.0,26.072761946969695
2002,-10.0,28.446257673076925
2003,-40.0,14.673079974358975
2003,-30.0,21.787554071428573
2003,-20.0,26.077629143939394
2003,-10.0,28.49336157051282
2004,-40.0,14.37300632852564
2004,-30.0,21.902825595238095
2004,-20.0,25.893436969696968
2004,-10.0,28.23142856410256
2005,-40.0,14.728650817307694
2005,-30.0,21.840341238095238
2005,-20.0,26.03181508333333
2005,-10.0,28.578284951923077
2006,-40.0,14.436903975961537
2006,-30.0,21.729550857142858
2006,-20.0,25.811381984848484
2006,-10.0,28.178498772435898
2007,-40.0,14.842507863782052
2007,-30.0,21.7159505
2007,-20.0,25.92989006818182
2007,-10.0,28.32750173397436
2008,-40.0,14.683400400641025
2008,-30.0,21.861159154761904
2008,-20.0,26.126429227272727
2008,-10.0,28.21163732692308
2009,-40.0,14.814834165064104
2009,-30.0,21.9332905
2009,-20.0,26.167957053030303
2009,-10.0,28.536261471153846
2010,-40.0,15.026892477564102
2010,-30.0,22.158276595238096
2010,-20.0,26.42909800757576
2010,-10.0,28.922464125
2011,-40.0,14.924805746794872
2011,-30.0,22.429159285714288
2011,-20.0,26.259323386363636
2011,-10.0,28.183474179487177
2012,-40.0,14.957525876602565
2012,-30.0,21.981554785714284
2012,-20.0,26.055423439393937
2012,-10.0,28.300414256410253
2013,-40.0,15.198170224358975
2013,-30.0,22.12674976190476
2013,-20.0,26.281106356060604
2013,-10.0,28.530886740384616
2014,-40.0,15.109439865384616
2014,-30.0,21.973712047619046
2014,-20.0,26.102904712121212
2014,-10.0,28.35641547115385
2015,-40.0,14.981348544871794
2015,-30.0,22.222241916666665
2015,-20.0,26.270177287878784
2015,-10.0,28.43920746474359
2016,-40.0,15.024229559294872
2016,-30.0,21.95110454761905
2016,-20.0,26.582931371212123
2016,-10.0,29.108256057692305
2017,-40.0,14.98455736698718
2017,-30.0,22.039814392857142
2017,-20.0,26.255800439393937
2017,-10.0,28.663899673076923
2018,-40.0,14.9620698125
2018,-30.0,22.010135571428574
2018,-20.0,26.13467873484848
2018,-10.0,28.45839364102564
2019,-40.0,14.702769661858975
2019,-30.0,21.934549821428572
2019,-20.0,26.06635891666667
2019,-10.0,28.057787506410254
2020,-40.0,14.682976493589743
2020,-30.0,22.12119470238095
2020,-20.0,26.544619121212122
2020,-10.0,28.75155012820513
2021,-40.0,14.794660365384615
2021,-30.0,21.974654
2021,-20.0,26.362962174242426
2021,-10.0,28.606497669871796
2022,-40.0,15.142449685897438
2022,-30.0,22.035930142857143
2022,-20.0,26.564013015151517
2022,-10.0,29.04114992948718
2023,-40.0,15.03990077724359
2023,-30.0,22.005696154761903
2023,-20.0,26.198884568181814
2023,-10.0,28.49485773076923
2024,-40.0,15.3570355625
2024,-30.0,22.48700570238095
2024,-20.0,26.578562257575758
2024,-10.0,28.94333337820513
2025,-40.0,15.603781457264956
2025,-30.0,22.711541603174602
2025,-20.0,26.75306285858586
2025,-10.0,28.98943288888889
