year,season,lat,sst
1980,Autumn,-10.0,28.70298170512821
1980,Spring,-10.0,27.72449443589744
1980,Summer,-10.0,28.99433358974359
1980,Winter,-10.0,26.78064078205128
1981,Autumn,-10.0,28.78023178205128
1981,Spring,-10.0,28.084037051282053
1981,Summer,-10.0,29.039976628205128
1981,Winter,-10.0,27.290152602564103
1982,Autumn,-10.0,28.46312873076923
1982,Spring,-10.0,26.86051065384616
1982,Summer,-10.0,28.99264532051282
1982,Winter,-10.0,26.018285025641024
1983,Autumn,-10.0,29.09041514102564
1983,Spring,-10.0,27.963733602564105
1983,Summer,-10.0,29.17567203846154
1983,Winter,-10.0,26.608531602564103
1984,Autumn,-10.0,28.565924461538454
1984,Spring,-10.0,27.964598435897432
1984,Summer,-10.0,29.15469121794872
1984,Winter,-10.0,26.504563025641023
1985,Autumn,-10.0,28.90064462820513
1985,Spring,-10.0,27.906252500000004
1985,Summer,-10.0,29.27118452564103
1985,Winter,-10.0,26.792262987179488
1986,Autumn,-10.0,28.853782525641023
1986,Spring,-10.0,27.806365820512823
1986,Summer,-10.0,29.05186073076923
1986,Winter,-10.0,27.08938555128205
1987,Autumn,-10.0,28.579897948717957
1987,Spring,-10.0,27.57719343589744
1987,Summer,-10.0,29.00622424358974
1987,Winter,-10.0,26.611807564102563
1988,Autumn,-10.0,29.057454987179486
1988,Spring,-10.0,28.48752371794872
1988,Summer,-10.0,29.172970461538466
1988,Winter,-10.0,27.14725028205128
1989,Autumn,-10.0,28.77377173076923
1989,Spring,-10.0,28.23008608974359
1989,Summer,-10.0,29.25674908974359
1989,Winter,-10.0,27.411779948717957
1990,Autumn,-10.0,28.98150521794872
1990,Spring,-10.0,27.75397232051282
1990,Summer,-10.0,29.28401569230769
1990,Winter,-10.0,27.17729783333333
1991,Autumn,-10.0,28.49695065384616
1991,Spring,-10.0,27.591739974358973
1991,Summer,-10.0,29.067074141025643
1991,Winter,-10.0,26.76882214102564
1992,Autumn,-10.0,28.996489512820517
1992,Spring,-10.0,27.817525256410253
1992,Summer,-10.0,29.206673397435896
1992,Winter,-10.0,27.01436876923077
1993,Autumn,-10.0,28.482644012820515
1993,Spring,-10.0,27.425384833333336
1993,Summer,-10.0,28.942021141025645
1993,Winter,-10.0,26.750972410256413
1994,Autumn,-10.0,28.547494769230767
1994,Spring,-10.0,27.49687285897436
1994,Summer,-10.0,29.134916346153847
1994,Winter,-10.0,26.4689371025641
1995,Autumn,-10.0,28.845395384615387
1995,Spring,-10.0,28.12406135897436
1995,Summer,-10.0,29.18156064102564
1995,Winter,-10.0,27.007710692307693
1996,Autumn,-10.0,28.892403756410257
1996,Spring,-10.0,28.32628864102564
1996,Summer,-10.0,29.373951064102567
1996,Winter,-10.0,27.370283884615382
1997,Autumn,-10.0,28.26334608974359
1997,Spring,-10.0,27.2733151025641
1997,Summer,-10.0,29.15039873076923
1997,Winter,-10.0,26.42818332051282
1998,Autumn,-10.0,29.422502410256413
1998,Spring,-10.0,28.67300885897436
1998,Summer,-10.0,29.46670097435897
1998,Winter,-10.0,27.85127343589744
1999,Autumn,-10.0,29.170043615384618
1999,Spring,-10.0,27.95087816666667
1999,Summer,-10.0,29.40400428205129
1999,Winter,-10.0,26.888497564102565
2000,Autumn,-10.0,28.892579
2000,Spring,-10.0,28.36181002564102
2000,Summer,-10.0,29.232893
2000,Winter,-10.0,26.683449384615383
2001,Autumn,-10.0,29.024172102564105
2001,Spring,-10.0,28.085962397435896
2001,Summer,-10.0,29.27066151282051
2001,Winter,-10.0,27.11548641025641
2002,Autumn,-10.0,29.22242583333333
2002,Spring,-10.0,28.08651624358974
2002,Summer,-10.0,29.51362151282051
2002,Winter,-10.0,26.962467102564105
2003,Autumn,-10.0,29.13854469230769
2003,Spring,-10.0,28.17396446153846
2003,Summer,-10.0,29.473008153846155
2003,Winter,-10.0,27.18792897435897
2004,Autumn,-10.0,29.09106928205128
2004,Spring,-10.0,27.67837214102564
2004,Summer,-10.0,29.426677282051283
2004,Winter,-10.0,26.729595551282056
2005,Autumn,-10.0,29.09742032051282
2005,Spring,-10.0,28.24371267948717
2005,Summer,-10.0,29.76986532051282
2005,Winter,-10.0,27.20214148717949
2006,Autumn,-10.0,29.03129269230769
2006,Spring,-10.0,27.40389078205128
2006,Summer,-10.0,29.45426176923077
2006,Winter,-10.0,26.824549846153843
2007,Autumn,-10.0,28.82604262820513
2007,Spring,-10.0,28.079048666666665
2007,Summer,-10.0,29.493747628205128
2007,Winter,-10.0,26.911168012820514
2008,Autumn,-10.0,28.69384803846154
2008,Spring,-10.0,28.08474696153846
2008,Summer,-10.0,29.327693243589746
2008,Winter,-10.0,26.740261064102565
2009,Autumn,-10.0,29.133745948717948
2009,Spring,-10.0,28.166871205128206
2009,Summer,-10.0,29.331159692307693
2009,Winter,-10.0,27.513269038461534
2010,Autumn,-10.0,29.47954051282052
2010,Spring,-10.0,28.88019667948718
2010,Summer,-10.0,29.600068102564105
2010,Winter,-10.0,27.73005120512821
2011,Autumn,-10.0,28.71005928205128
2011,Spring,-10.0,27.956021487179484
2011,Summer,-10.0,29.31186191025641
2011,Winter,-10.0,26.75595403846154
2012,Autumn,-10.0,28.922044
2012,Spring,-10.0,28.01606707692308
2012,Summer,-10.0,29.519418435897435
2012,Winter,-10.0,26.744127512820512
2013,Autumn,-10.0,29.11905393589744
2013,Spring,-10.0,28.174126846153843
2013,Summer,-10.0,29.587287333333336
2013,Winter,-10.0,27.24307884615385
2014,Autumn,-10.0,29.088086948717947
2014,Spring,-10.0,27.878839461538465
2014,Summer,-10.0,29.380273923076924
2014,Winter,-10.0,27.07846155128205
2015,Autumn,-10.0,29.313635525641025
2015,Spring,-10.0,27.82046215384615
2015,Summer,-10.0,29.663208641025644
2015,Winter,-10.0,26.95952353846154
2016,Autumn,-10.0,29.90401001282051
2016,Spring,-10.0,28.74749255128205
2016,Summer,-10.0,29.909337512820517
2016,Winter,-10.0,27.872184153846156
2017,Autumn,-10.0,29.23129275641025
2017,Spring,-10.0,28.41876655128205
2017,Summer,-10.0,29.75308029487179
2017,Winter,-10.0,27.252459089743592
2018,Autumn,-10.0,29.329485846153847
2018,Spring,-10.0,28.06858085897436
2018,Summer,-10.0,29.54148324358974
2018,Winter,-10.0,26.894024615384613
2019,Autumn,-10.0,28.85894456410256
2019,Spring,-10.0,27.52661407692308
2019,Summer,-10.0,29.338736576923072
2019,Winter,-10.0,26.506854807692307
2020,Autumn,-10.0,29.39959257692308
2020,Spring,-10.0,28.315638012820514
2020,Summer,-10.0,29.82030311538461
2020,Winter,-10.0,27.470666807692307
2021,Autumn,-10.0,28.99543379487179
2021,Spring,-10.0,28.456902576923078
2021,Summer,-10.0,29.615270153846154
2021,Winter,-10.0,27.35838415384616
2022,Autumn,-10.0,29.66655012820513
2022,Spring,-10.0,28.972763076923076
2022,Summer,-10.0,29.511445141025643
2022,Winter,-10.0,28.01384137179487
2023,Autumn,-10.0,29.3560652948718
2023,Spring,-10.0,27.97165696153846
2023,Summer,-10.0,29.354234807692308
2023,Winter,-10.0,27.29747385897436
2024,Autumn,-10.0,29.575333384615387
2024,Spring,-10.0,28.755109333333333
2024,Summer,-10.0,29.9312931025641
2024,Winter,-10.0,27.51159769230769


